SCHL	gmajor	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	pop	meanadj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed_all	pct_ts	pct_tsg	p50r	p25r	p75r	pct_ts_all	pct_tsg_all
	Education	Early childhood education	3	8137	42934.31868	31612.99271	56144.87828	790408	46667.45255	0.387515056	0.352339181	0.966292355	0.003487439	0.037255114	43000	32000	56000	0.004243236	0.039903591
	Education	Science and computer teacher education	3	3438	55239.01433	41294.62631	75125.05949	305381	63587.98954	0.525572973	0.509359225	0.972439673	0.001347403	0.014393837	55000	41000	75000	0.001460033	0.013730213
	Education	Secondary teacher education	3	10685	55043.99831	41294.62631	73917.27367	953559	62602.82557	0.491983191	0.474137348	0.97508208	0.004207294	0.044945078	55000	41000	74000	0.004449278	0.041841211
	Education	Special needs education	3	11617	54350.93653	41202.26716	70200.86472	1072590	58486.14134	0.591941003	0.563418008	0.97387455	0.004732483	0.050555489	54000	41000	70000	0.005515986	0.051872586
	Education	Social science or history teacher education	3	6002	52176.89906	38047.34862	72265.59603	539979	62799.06733	0.461304977	0.440346046	0.971891414	0.002382496	0.025451386	52000	38000	72000	0.002567058	0.02414073
	Education	Teacher education: multiple levels	3	4705	48915.84287	36881.82482	63080.9126	418324	52451.39814	0.456251614	0.431225013	0.977585733	0.00184573	0.019717296	49000	37000	63000	0.0020349	0.019136294
	Education	Language and drama education	3	9048	51924.67347	39132.6743	69569.19875	823703	57698.72549	0.546165305	0.511762181	0.968580651	0.003634344	0.038824442	52000	39000	70000	0.004304253	0.040477391
	Education	Art and music education	3	11013	50585.91722	35301.17519	68254.5579	1030399	55285.84159	0.456139806	0.431381522	0.9742156	0.004546328	0.048566857	51000	35000	68000	0.005174451	0.048660779
	Education	Miscellaneous education	3	12503	57071.02293	41294.62631	79352.36733	1118439	65205.81994	0.540069686	0.528182953	0.969066215	0.004934778	0.052716537	57000	41000	79000	0.00512274	0.048174486
	Health	Nutrition sciences	3	3738	54715.37985	36132.79802	82565.99746	382044	69987.14702	0.441360158	0.410108386	0.965445478	0.001685655	0.022916591	55000	36000	83000	0.001955229	0.02634612
	Health	Communication disorders sciences and services	3	8750	60873.04891	44191.21147	81394.72593	840783	69719.35958	0.789336844	0.759016288	0.981167323	0.003709704	0.050433668	61000	44000	81000	0.004321552	0.05823161
	Health	Health and medical administrative services	3	6898	57993.74223	39132.6743	87499.33038	705302	71608.00698	0.295549991	0.284453496	0.956377274	0.003111935	0.042306953	58000	39000	87000	0.002965873	0.039964246
	Health	Health and medical preparatory programs	3	3719	97831.68575	47505.55233	195663.3715	396168	144451.2143	0.811302276	0.765412478	0.970933578	0.001747973	0.023763807	98000	48000	196000	0.001697104	0.022867961
	Health	Nursing	3	85500	70087.22114	51618.28288	91569.06668	8892487	77607.71343	0.253379398	0.238284577	0.979996792	0.039235444	0.533408422	70000	52000	92000	0.038836334	0.523307828
