SCHL	gmajor	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	pop	meanadj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed_all	pct_ts	pct_tsg	p50r	p25r	p75r	pct_ts_all	pct_tsg_all
Bachelors	Agriculture and natural resources	Plant science and agronomy	7	3654	49553.55157	30523.02223	76094.69724	315006	59764.00626	0	0	0.972572804	0.002179478	0.130598257	50000	31000	76000	0.001984895	0.130877329
Bachelors	Agriculture and natural resources	Soil science	7	269	66286.8172	41981.65089	88382.42293	21791	72420.69254	0	0	0.949951117	0.000150769	0.009034325	66000	42000	88000	0.000138457	0.009129395
Bachelors	Agriculture and natural resources	Miscellaneous agriculture	7	5538	53263.91779	33026.39899	80099.6813	448061	64898.41799	0	0	0.979399774	0.003100065	0.185761496	53000	33000	80000	0.002648378	0.17462518
Bachelors	Agriculture and natural resources	Forestry	7	2739	60064.68614	41981.65089	83103.41935	232945	69556.36688	0	0	0.968412911	0.001611711	0.096576608	60000	42000	83000	0.001418273	0.093516192
Bachelors	Agriculture and natural resources	Natural resources management	7	3842	53263.91779	37046.1026	76307.55556	339808	64253.10764	0	0	0.957043797	0.00235108	0.140880912	53000	37000	76000	0.002240759	0.147748175
Bachelors	Architecture and engineering	Architecture	7	10729	63047.08637	39772.09032	90591.9835	1088167	73835.36062	0	0	0.937239571	0.007528861	0.080722459	63000	40000	91000	0.007534295	0.091305578
Bachelors	Architecture and engineering	General engineering	7	16794	78265.3486	50580.78833	109135.8158	2147250	88857.82334	0	0	0.961026763	0.014856494	0.159287407	78000	51000	109000	0.013234291	0.160381916
Bachelors	Architecture and engineering	Aerospace engineering	7	2504	88516.76445	63225.98541	120149.522	253132	98878.17327	0	0	0.967663198	0.001751382	0.018777851	89000	63000	120000	0.001501329	0.0181941
Bachelors	Architecture and engineering	Architectural engineering	7	677	77334.62006	54350.93653	106333.6627	68482	88329.09072	0	0	0.950509605	0.000473817	0.005080135	77000	54000	106000	0.00042769	0.005183032
Bachelors	Architecture and engineering	Biomedical engineering	7	1934	68254.5579	40697.36297	97831.68575	184762	80582.04235	0	0	0.953121491	0.00127834	0.013706024	68000	41000	98000	0.001227742	0.014878586
Bachelors	Architecture and engineering	Chemical engineering	7	7052	93603.93482	63225.98541	129903.836	692802	108643.9517	0	0	0.967416693	0.004793391	0.051393473	94000	63000	130000	0.004301107	0.052123671
Bachelors	Architecture and engineering	Civil engineering	7	14672	81526.40479	57611.99272	110087.9966	1398608	93297.7926	0	0	0.961425271	0.009676755	0.103751609	82000	58000	110000	0.008325107	0.100889166
Bachelors	Architecture and engineering	Electrical engineering	7	27131	92912.90919	65080.99106	123883.8789	2743697	102734.0228	0	0	0.960203666	0.018983219	0.203533069	93000	65000	124000	0.016643846	0.201701164
Bachelors	Architecture and engineering	"Engineering mechanics, physics, and science"	7	678	74020.2792	42150.65694	108987.1167	70502	85134.9205	0	0	0.965259465	0.000487793	0.005229983	74000	42000	109000	0.000438193	0.005310314
Bachelors	Architecture and engineering	Environmental engineering	7	608	75004.2924	55043.99831	99430.2258	56650	83558.28252	0	0	0.966905321	0.000391953	0.004202413	75000	55000	99000	0.00037931	0.004596733
Bachelors	Architecture and engineering	Geological and geophysical engineering	7	210	91677.67885	63080.9126	122092.0889	20119	113060.6791	0	0	0.989286615	0.0001392	0.001492469	92000	63000	122000	0.000130356	0.001579738
Bachelors	Architecture and engineering	Industrial and manufacturing engineering	7	5564	81140.01461	54350.93653	110137.0618	544929	94871.49959	0	0	0.957847237	0.00377028	0.04042395	81000	54000	110000	0.003379068	0.040949782
Bachelors	Architecture and engineering	Mechanical engineering	7	23090	86961.49844	62077.25301	117398.0229	2281003	99277.63131	0	0	0.968720539	0.01578191	0.169209479	87000	62000	117000	0.013285068	0.160997263
Bachelors	Architecture and engineering	Metallurgical engineering	7	361	97831.68575	67153.67794	130442.2477	30999	111644.8602	0	0	0.975878329	0.000214477	0.002299569	98000	67000	130000	0.000195505	0.002369255
Bachelors	Architecture and engineering	Mining and mineral engineering	7	459	97831.68575	60064.68614	141312.435	41426	111781.5404	0	0	0.965685639	0.00028662	0.003073066	98000	60000	141000	0.000242049	0.002933313
Bachelors	Architecture and engineering	Petroleum engineering	7	740	134882.1022	87751.0809	250014.308	73220	183474.488	0	0	0.967794571	0.000506598	0.00543161	135000	88000	250000	0.000444236	0.00538355
Bachelors	Architecture and engineering	Miscellaneous engineering	7	2584	75093.45122	48938.57897	103266.7794	257940	86996.68617	0	0	0.960557613	0.001784647	0.019134518	75000	49000	103000	0.001574749	0.019083847
Bachelors	Architecture and engineering	Engineering technologies	7	1636	66286.8172	44035.19865	100107.8102	177179	78139.79223	0	0	0.961698898	0.001225874	0.013143502	66000	44000	100000	0.001078893	0.013074739
Bachelors	Architecture and engineering	Engineering and industrial management	7	1320	76924.94892	50871.70371	113560.2223	121795	95261.96066	0	0	0.957643986	0.000842681	0.009035003	77000	51000	114000	0.000753676	0.009133551
Bachelors	Architecture and engineering	Industrial production technologies	7	3632	73763.64965	50002.8616	101743.4074	348441	82943.47375	0	0	0.9584187	0.00241081	0.025848068	74000	50000	102000	0.002058174	0.024942316
Bachelors	Architecture and engineering	Mechanical engineering related technologies	7	1443	68494.81753	47337.83855	93574.79713	139248	76229.10798	0	0	0.958909077	0.000963436	0.010329702	68000	47000	94000	0.000823106	0.009974943
Bachelors	Architecture and engineering	Miscellaneous engineering technologies	7	7144	71557.1978	47419.48906	100005.7232	739999	78714.20727	0	0	0.957233119	0.00511994	0.054894643	72000	47000	100000	0.004539564	0.055013442
Bachelors	Arts	Fine arts	7	16735	43480.74922	25809.14144	68254.5579	1828483	54654.62053	0	0	0.937968527	0.012650994	0.299173955	43000	26000	68000	0.01473255	0.305559221
Bachelors	Arts	Drama and theater arts	7	5563	40876.87061	26344.16059	63080.9126	596636	52576.04355	0	0	0.932738482	0.004128033	0.097620788	41000	26000	63000	0.004808914	0.099738876
Bachelors	Arts	Music	7	7546	43359.35762	25809.14144	66052.79797	823437	52639.52059	0	0	0.958263759	0.005697234	0.134729666	43000	26000	66000	0.00667904	0.138526078
Bachelors	Arts	Visual and performing arts	7	1704	38848.34543	24131.2511	60074.76098	179206	49711.62055	0	0	0.933982285	0.001239899	0.029321447	39000	24000	60000	0.001552406	0.032197546
Bachelors	Arts	Commercial art and graphic design	7	17675	46741.80541	30824.63905	71220.38519	1929247	57693.78558	0	0	0.941305238	0.013348164	0.315660826	47000	31000	71000	0.014533176	0.301424128
Bachelors	Arts	"Film, video, and photographic arts"	7	4466	44391.72328	26032.39642	70200.86472	506451	59125.89554	0	0	0.929114935	0.003504057	0.082864839	44000	26000	70000	0.003839889	0.079640895
Bachelors	Arts	Studio arts	7	2621	37935.59125	23400.98371	57957.15329	248312	46773.69226	0	0	0.935111062	0.001718033	0.040628479	38000	23000	58000	0.002069064	0.042913256
Bachelors	Biology and life sciences	Environmental science	7	4787	54795.85402	36627.62667	80099.6813	467865	64094.80563	0	0	0.953592234	0.003237086	0.102982739	55000	37000	80000	0.003232597	0.095981708
Bachelors	Biology and life sciences	Biology	7	27312	53924.00593	35301.17519	81526.40479	2786546	66522.34641	0	0	0.953408812	0.019279685	0.613352439	54000	35000	82000	0.020728385	0.615463693
Bachelors	Biology and life sciences	Biochemical sciences	7	2309	56524.97399	35610.1926	86961.49844	247393	71188.15688	0	0	0.952165309	0.001711674	0.054454188	57000	36000	87000	0.001891442	0.05616039
Bachelors	Biology and life sciences	Botany	7	391	48589.73725	30037.38049	73763.64965	38030	57737.70575	0	0	0.975550909	0.000263124	0.008370862	49000	30000	74000	0.000304046	0.009027674
Bachelors	Biology and life sciences	Molecular biology	7	894	53392.67836	33143.4086	81394.72593	90461	67790.68087	0	0	0.96251946	0.000625886	0.019911559	53000	33000	81000	0.000711563	0.021127596
Bachelors	Biology and life sciences	Ecology	7	1837	48438.71851	31925.51902	71656.1168	174356	57740.93031	0	0	0.961527508	0.001206342	0.038377862	48000	32000	72000	0.001238157	0.036763161
Bachelors	Biology and life sciences	Microbiology	7	2202	59658.13548	39132.6743	88070.39729	223874	71104.73986	0	0	0.957599565	0.00154895	0.049277372	60000	39000	88000	0.001683793	0.049994903
Bachelors	Biology and life sciences	Zoology	7	1666	53683.0142	33720.52555	82565.99746	164044	64936.55552	0	0	0.958181041	0.001134995	0.036108066	54000	34000	83000	0.001212479	0.036000707
Bachelors	Biology and life sciences	Neuroscience	7	286	44224.70063	30037.38049	74330.32735	31428	60032.56358	0	0	0.943742719	0.000217446	0.006917683	44000	30000	74000	0.000281587	0.008360832
Bachelors	Biology and life sciences	Miscellaneous biology	7	3112	52906.57186	34068.0667	77334.62006	319143	63550.96326	0	0	0.959297889	0.002208102	0.07024723	53000	34000	77000	0.002395249	0.071119336
Bachelors	Business	General business	7	72368	61941.93946	39229.89499	98074.73747	8493556	81295.91494	0	0	0.958698184	0.058765613	0.209841218	62000	39000	98000	0.054776658	0.210092715
Bachelors	Business	Accounting	7	68530	66052.79797	42273.7907	100124.6016	7068773	85779.98854	0	0	0.958334086	0.048907757	0.174640626	66000	42000	100000	0.045617788	0.174964394
Bachelors	Business	Actuarial science	7	469	88070.39729	58699.01145	132105.5959	48597	114548.6579	0	0	0.971046356	0.000336235	0.001200634	88000	59000	132000	0.000291494	0.00111801
Bachelors	Business	Business management and administration	7	125046	60074.76098	39772.09032	90551.6326	12537715	75712.83986	0	0	0.952957055	0.086746529	0.309755935	60000	40000	91000	0.08032831	0.3080946
Bachelors	Business	Operations logistics and e-commerce	7	2719	68494.81753	48438.71851	96946.51096	283750	79636.98589	0	0	0.964466637	0.001963223	0.007010308	68000	48000	97000	0.001681726	0.006450161
Bachelors	Business	Business economics	7	3083	71810.71863	46236.95858	110478.0287	296362	98486.05178	0	0	0.953113053	0.002050483	0.007321899	72000	46000	110000	0.001854278	0.007111974
Bachelors	Business	Marketing and marketing research	7	44018	60074.76098	39993.04638	93906.32436	4708319	78958.96987	0	0	0.955296327	0.032576138	0.116323409	60000	40000	94000	0.031322501	0.120135646
Bachelors	Business	Finance	7	35544	71220.38519	45654.78668	108701.8731	3775535	95722.43062	0	0	0.960445831	0.026122348	0.093278111	71000	46000	109000	0.02343058	0.089866639
Bachelors	Business	Human resources and personnel management	7	7417	55849.62045	38667.31003	81753.74121	772928	68635.10743	0	0	0.949660415	0.00534777	0.019095907	56000	39000	82000	0.005100931	0.019564328
Bachelors	Business	International business	7	3408	56524.97399	38530.79882	86172.86236	375074	72575.95065	0	0	0.94410746	0.00259508	0.009266553	57000	39000	86000	0.002645196	0.010145498
Bachelors	Business	Hospitality management	7	7971	49715.1129	33026.39899	75093.45122	862853	63232.29508	0	0	0.95468953	0.005969948	0.021317588	50000	33000	75000	0.005911704	0.022673999
Bachelors	Business	Management information systems and statistics	7	8430	77427.42432	52650.64854	106058.9075	836764	87653.6266	0	0	0.965110405	0.005789442	0.020673035	77000	53000	106000	0.004982405	0.019109728
Bachelors	Business	Miscellaneous business and medical administration	7	4099	55239.01433	35100.43236	86718.71524	415883	71333.58824	0	0	0.951931862	0.002877431	0.010274777	55000	35000	87000	0.002782549	0.010672308
Bachelors	Communications and journalism	Communications and mass media	7	47438	52688.32118	35228.15892	81753.74121	5114109	68087.5364	0	0	0.946339008	0.035383737	0.684971609	53000	35000	82000	0.035866994	0.68465603
Bachelors	Communications and journalism	Journalism	7	15265	54350.93653	35610.1926	84301.31388	1576579	69734.46833	0	0	0.949968297	0.010908109	0.211163246	54000	36000	84000	0.011110247	0.212080709
Bachelors	Communications and journalism	Advertising and public relations	7	7391	52906.57186	36460.31825	81394.72593	775474	68427.40309	0	0	0.949657385	0.005365386	0.103865145	53000	36000	81000	0.00540964	0.103263261
Bachelors	"Computers, statistics, and mathematics"	Computer and information systems	7	13010	68494.81753	47058.56276	96946.51096	1402053	76177.88329	0	0	0.954180707	0.00970059	0.156659358	68000	47000	97000	0.008604229	0.151242228
Bachelors	"Computers, statistics, and mathematics"	Computer science	7	36688	82589.25261	54350.93653	113560.2223	3983330	92322.76425	0	0	0.958896629	0.02756005	0.445080121	83000	54000	114000	0.024757754	0.435183429
Bachelors	"Computers, statistics, and mathematics"	Information sciences	7	4027	73763.64965	50062.30081	101743.4074	417861	81898.00448	0	0	0.959559709	0.002891116	0.046689987	74000	50000	102000	0.002517489	0.044251575
Bachelors	"Computers, statistics, and mathematics"	Computer engineering	7	7767	87108.40341	61867.69605	115914.3066	821404	96889.10601	0	0	0.957591618	0.005683168	0.091780142	87000	62000	116000	0.00511048	0.089830295
Bachelors	"Computers, statistics, and mathematics"	Miscellaneous computer	7	8241	56780.11117	38045.65557	84447.02816	871565	67784.7511	0	0	0.941560351	0.006030225	0.097384916	57000	38000	84000	0.005703101	0.100247171
Bachelors	"Computers, statistics, and mathematics"	Mathematics	7	12905	70087.22114	43480.74922	108398.3941	1290032	88814.19371	0	0	0.95982445	0.008925534	0.144142614	70000	43000	108000	0.009065017	0.159341794
Bachelors	"Computers, statistics, and mathematics"	Applied mathematics	7	795	82412.16001	50069.73439	115592.3965	75302	95577.33309	0	0	0.942239566	0.000521003	0.008413921	82000	50000	116000	0.000516678	0.009081987
Bachelors	"Computers, statistics, and mathematics"	Statistics and decision science	7	862	74020.2792	44191.21147	110137.0618	88145	92895.69747	0	0	0.955647898	0.000609862	0.009848942	74000	44000	110000	0.000615641	0.010821523
Bachelors	Education	General education	7	30147	44035.19865	31928.15028	59447.51817	3630384	50329.31564	0	0	0.964166186	0.025118071	0.326186179	44000	32000	59000	0.02847426	0.31452462
Bachelors	Education	Elementary education	7	33831	41981.65089	32038.62831	52906.57186	2996206	45308.57699	0	0	0.967138764	0.02073029	0.269205954	42000	32000	53000	0.026577593	0.29357417
Bachelors	Education	Mathematics teacher education	7	1880	46496.73719	36132.79802	61941.93946	170106	54244.11912	0	0	0.972724173	0.001176937	0.015283845	46000	36000	62000	0.001340723	0.01480953
Bachelors	Education	Physical and health education teaching	7	8518	48915.84287	33143.4086	67083.48309	815028	57188.46873	0	0	0.965324271	0.005639054	0.073229408	49000	33000	67000	0.005934308	0.065549934
Bachelors	Education	Early childhood education	7	4844	37645.06074	27175.46826	48915.84287	484113	40792.574	0	0	0.957579953	0.003349504	0.043497043	38000	27000	49000	0.00424312	0.0468692
Bachelors	Education	Science and computer teacher education	7	1629	47058.56276	35228.15892	63080.9126	144881	53654.17844	0	0	0.963268162	0.001002409	0.013017405	47000	35000	63000	0.001106029	0.01221712
Bachelors	Education	Secondary teacher education	7	5337	46801.96741	35610.1926	63080.9126	484424	54067.78985	0	0	0.965723029	0.003351655	0.043524986	47000	36000	63000	0.003612454	0.039902904
Bachelors	Education	Special needs education	7	4643	44191.21147	34774.29198	56069.77691	437680	48231.66625	0	0	0.961921488	0.003028241	0.039325087	44000	35000	56000	0.003718172	0.041070657
Bachelors	Education	Social science or history teacher education	7	3168	44767.09926	33026.39899	60873.04891	290884	53097.96556	0	0	0.96515167	0.002012582	0.026135621	45000	33000	61000	0.002218175	0.024501795
Bachelors	Education	Teacher education: multiple levels	7	2496	41294.62631	31612.99271	53360.88784	227463	45890.32414	0	0	0.971739144	0.001573782	0.020437311	41000	32000	53000	0.001786998	0.019739051
Bachelors	Education	Language and drama education	7	4021	44035.19865	33143.4086	56144.87828	373825	49050.40346	0	0	0.961052825	0.002586438	0.033587783	44000	33000	56000	0.003244664	0.035840319
Bachelors	Education	Art and music education	7	5830	43415.17665	30970.96973	57448.5749	560393	47750.57407	0	0	0.968051046	0.003877273	0.050350721	43000	31000	57000	0.004542822	0.050179688
Bachelors	Education	Miscellaneous education	7	5936	50062.30081	35132.01311	72265.59603	514404	59176.09693	0	0	0.959919469	0.003559083	0.046218658	50000	35000	72000	0.003731784	0.041221012
Bachelors	Health	Nutrition sciences	7	2025	47559.18577	31612.99271	68494.81753	213425	56887.20043	0	0	0.954462216	0.001476655	0.019816285	48000	32000	68000	0.00178078	0.023486282
Bachelors	Health	Communication disorders sciences and services	7	1744	44258.18979	31540.4563	62172.21899	177122	51652.27045	0	0	0.960864455	0.00122548	0.01644559	44000	32000	62000	0.001607933	0.02120664
Bachelors	Health	Health and medical administrative services	7	4819	52688.32118	36329.03888	77427.42432	496850	62905.55834	0	0	0.956143538	0.003437629	0.046131997	53000	36000	77000	0.003276657	0.043215034
Bachelors	Health	Health and medical preparatory programs	7	647	48836.83556	30523.02223	79492.15564	74756	65800.34451	0	0	0.949010078	0.000517225	0.006941016	49000	31000	79000	0.000614687	0.008106954
Bachelors	Health	Nursing	7	62439	65221.12383	49715.1129	84301.31388	6639314	70062.07477	0	0	0.979242312	0.045936396	0.616453278	65000	50000	84000	0.045674254	0.602386666
Bachelors	Health	Pharmacy and pharmaceutical sciences and administration	7	5586	110087.9966	71810.71863	130442.2477	550534	107813.3093	0	0	0.971797042	0.00380906	0.051116499	110000	72000	130000	0.003697146	0.048760768
Bachelors	Health	Treatment therapy professions	7	9423	61941.93946	40049.84065	82858.5215	949032	66677.78486	0	0	0.980812755	0.006566207	0.088116617	62000	40000	83000	0.007018556	0.092566037
Bachelors	Health	Miscellaneous health medical professions	7	15971	54350.93653	37645.06074	73763.64965	1669149	61415.52145	0	0	0.964773311	0.011548586	0.154978718	54000	38000	74000	0.012152139	0.160271621
Bachelors	Humanities and liberal arts	Area ethnic and civilization studies	7	3281	48389.37655	30970.96973	75093.45122	333815	65196.02736	0	0	0.938672787	0.002309615	0.029863734	48000	31000	75000	0.002661162	0.030931075
Bachelors	Humanities and liberal arts	Linguistics and comparative language and literature	7	1798	45784.53334	27619.50717	70456.31784	193540	57753.79097	0	0	0.926654972	0.001339074	0.017314462	46000	28000	70000	0.001747572	0.020312284
Bachelors	Humanities and liberal arts	"French, german, latin and other common foreign language studies"	7	6076	49539.59848	32038.62831	71810.71863	615709	60600.19807	0	0	0.951077337	0.004259996	0.055082516	50000	32000	72000	0.005119439	0.059503994
Bachelors	Humanities and liberal arts	Other foreign languages	7	1518	46801.96741	30037.38049	77178.32987	156149	63238.47141	0	0	0.94262147	0.001080371	0.013969391	47000	30000	77000	0.001396095	0.016227021
Bachelors	Humanities and liberal arts	English language and literature	7	30293	49715.1129	32610.56192	77334.62006	3150928	64801.36595	0	0	0.944781125	0.021800788	0.281888101	50000	33000	77000	0.024934514	0.289817551
Bachelors	Humanities and liberal arts	Composition and speech	7	2032	43528.34329	30037.38049	68494.81753	208706	56702.32329	0	0	0.929940555	0.001444005	0.018671242	44000	30000	68000	0.001601033	0.018609041
Bachelors	Humanities and liberal arts	Liberal arts	7	19103	50062.30081	32610.56192	76924.94892	2091154	63639.7869	0	0	0.94511737	0.014468374	0.187078673	50000	33000	77000	0.015872282	0.184485885
Bachelors	Humanities and liberal arts	Humanities	7	1338	45295.99175	30037.38049	68254.5579	136280	57173.20345	0	0	0.923748898	0.0009429	0.012191872	45000	30000	68000	0.001145359	0.013312675
Bachelors	Humanities and liberal arts	Multi/interdisciplinary studies	7	1800	45424.08894	32557.89037	57993.74223	171520	51597.7397	0	0	0.941680699	0.001186721	0.01534451	45000	33000	58000	0.001270926	0.014772156
Bachelors	Humanities and liberal arts	Intercultural and international studies	7	1854	48059.80878	31925.51902	75093.45122	192792	63185.8341	0	0	0.940888958	0.001333898	0.017247545	48000	32000	75000	0.001517217	0.017634834
Bachelors	Humanities and liberal arts	Philosophy and religious studies	7	6034	47117.66255	29938.60407	74859.8377	631720	64411.66971	0	0	0.940314308	0.004370774	0.056514891	47000	30000	75000	0.004822739	0.056055407
Bachelors	Humanities and liberal arts	Theology and religious vocations	7	7772	40697.36297	27033.64244	58346.63821	754856	48776.86595	0	0	0.963119318	0.005222733	0.067530875	41000	27000	58000	0.00542225	0.06302361
Bachelors	Humanities and liberal arts	Art history and criticism	7	2522	45424.08894	29349.50572	71810.71863	257793	62725.12289	0	0	0.940270214	0.00178363	0.023062659	45000	29000	72000	0.002205817	0.025638536
Bachelors	Humanities and liberal arts	History	7	22226	51924.67347	33480.1769	82565.99746	2282977	70858.57998	0	0	0.947546458	0.015795568	0.204239529	52000	33000	83000	0.016318809	0.189675931
Bachelors	"Industrial arts, consumer services, and recreation"	Family and consumer sciences	7	10623	42150.65694	29505.58815	61046.04445	1051488	50526.22916	0	0	0.958011642	0.007275084	0.274555575	42000	30000	61000	0.009042834	0.331620758
Bachelors	"Industrial arts, consumer services, and recreation"	Military technologies	7	109	71220.38519	36881.82482	98122.10959	12460	90889.78603	0	0	0.975674067	8.62088E-05	0.003253449	71000	37000	98000	7.81893E-05	0.002867374
Bachelors	"Industrial arts, consumer services, and recreation"	"Physical fitness, parks, recreation, and leisure"	7	14064	45784.53334	31540.4563	65333.51826	1480369	54589.49947	0	0	0.961796217	0.010242446	0.386541323	46000	32000	65000	0.010205213	0.374247796
Bachelors	"Industrial arts, consumer services, and recreation"	Miscellaneous industrial arts and consumer services	7	6508	61046.04445	38530.79882	90112.14146	713533	73018.32107	0	0	0.957963083	0.004936826	0.186311649	61000	39000	90000	0.004414931	0.16190532
Bachelors	"Industrial arts, consumer services, and recreation"	Transportation sciences and technologies	7	5473	72265.59603	44035.19865	105440.8169	571932	84741.8206	0	0	0.966310708	0.00395711	0.149338004	72000	44000	105000	0.003527432	0.129358752
Bachelors	Law and public policy	Pre-law and legal studies	7	2618	49715.1129	33143.4086	72830.25494	288685	61436.73852	0	0	0.932184705	0.001997367	0.069383941	50000	33000	73000	0.002048	0.077585611
Bachelors	Law and public policy	Criminal justice and fire protection	7	33511	53943.11834	36881.82482	78097.18927	3611955	62933.93247	0	0	0.957545701	0.024990563	0.868114632	54000	37000	78000	0.022584367	0.855577021
Bachelors	Law and public policy	Public administration	7	2005	60548.39814	39893.58741	92396.59209	203764	72687.90957	0	0	0.942748679	0.001409812	0.04897362	61000	40000	92000	0.001363225	0.051643881
Bachelors	Law and public policy	Public policy	7	587	63225.98541	38713.71216	99079.19696	56285	84365.12146	0	0	0.941336291	0.000389427	0.013527808	63000	39000	99000	0.000401057	0.015193488
Bachelors	Physical sciences	Multidisciplinary or general science	7	12967	56780.11117	36881.82482	86961.49844	1615230	71090.60444	0	0	0.956894509	0.011175529	0.456728519	57000	37000	87000	0.011023709	0.456116705
Bachelors	Physical sciences	Physical sciences	7	314	59786.03018	38667.31003	96656.23705	32857	72670.46531	0	0	0.953981978	0.000227333	0.009290769	60000	39000	97000	0.000214622	0.008880203
Bachelors	Physical sciences	Astronomy and astrophysics	7	139	63851.03804	34784.59938	110478.0287	14004	83263.80173	0	0	0.91358717	9.68915E-05	0.003959824	64000	35000	110000	0.000100856	0.004173026
Bachelors	Physical sciences	Atmospheric sciences and meteorology	7	610	65221.12383	41096.89052	100124.6016	62705	76436.54178	0	0	0.966208732	0.000433846	0.017730702	65000	41000	100000	0.000375669	0.015543662
Bachelors	Physical sciences	Chemistry	7	8681	61076.00699	40049.84065	93906.32436	896613	75073.04359	0	0	0.954031726	0.006203528	0.253529669	61000	40000	94000	0.006290549	0.26027759
Bachelors	Physical sciences	Geology and earth science	7	4130	64279.75184	41062.82274	99430.2258	396518	81555.74793	0	0	0.949655862	0.002743447	0.112120923	64000	41000	99000	0.002645206	0.109447974
Bachelors	Physical sciences	Geosciences	7	325	65182.03691	41306.71176	91569.06668	31316	75507.0665	0	0	0.948496952	0.000216671	0.00885503	65000	41000	92000	0.000219348	0.009075751
Bachelors	Physical sciences	Oceanography	7	424	60873.04891	38667.31003	91677.67885	39735	72041.15998	0	0	0.949738725	0.00027492	0.011235618	61000	39000	92000	0.000273597	0.011320346
Bachelors	Physical sciences	Physics	7	3559	76307.55556	41714.79704	116001.9301	364091	90830.18715	0	0	0.958079064	0.00251909	0.102951743	76000	42000	116000	0.002488479	0.102963233
Bachelors	Physical sciences	"Nuclear, industrial radiology, and biological technologies"	7	832	65221.12383	46456.45459	88382.42293	83452	75002.47356	0	0	0.966280661	0.000577392	0.023597202	65000	46000	88000	0.00053658	0.02220151
Bachelors	Psychology and social work	Psychology	7	49141	45784.53334	31612.99271	70087.22114	5215683	58201.71317	0	0	0.943382212	0.036086512	0.777641884	46000	32000	70000	0.040491705	0.783770535
Bachelors	Psychology and social work	Industrial and organizational psychology	7	586	64279.75184	38989.35767	95118.37154	59182	77680.90385	0	0	0.927067389	0.000409471	0.00882385	64000	39000	95000	0.0004366	0.00845097
Bachelors	Psychology and social work	Social psychology	7	280	49539.59848	35828.0584	73763.64965	25871	59552.53472	0	0	0.903357784	0.000178998	0.003857285	50000	36000	74000	0.000214177	0.004145674
Bachelors	Psychology and social work	Human services and community organization	7	3023	40043.12409	29505.45986	55239.01433	312289	48168.26993	0	0	0.933940148	0.00216068	0.046561305	40000	30000	55000	0.002285333	0.044235643
Bachelors	Psychology and social work	Social work	7	10500	41051.08667	30824.63905	55068.53089	1094025	46855.93597	0	0	0.950549408	0.007569391	0.163115677	41000	31000	55000	0.008234889	0.159397178
Bachelors	Social sciences	Interdisciplinary social sciences	7	2086	45114.37924	32003.33539	68254.5579	207938	55938.24599	0	0	0.949162619	0.001438691	0.021258174	45000	32000	68000	0.001567325	0.02286937
Bachelors	Social sciences	General social sciences	7	3656	50062.30081	33907.10296	75093.45122	366047	61711.8131	0	0	0.947417064	0.002532623	0.037422169	50000	34000	75000	0.00279266	0.040748645
Bachelors	Social sciences	Economics	7	26212	71220.38519	43480.74922	114136.9667	2789121	102055.145	0	0	0.95413929	0.019297501	0.28514086	71000	43000	114000	0.018597048	0.271355791
Bachelors	Social sciences	Anthropology and archeology	7	4419	44767.09926	28996.87111	68496.37777	451147	57252.40807	0	0	0.937129173	0.003121417	0.046122217	45000	29000	68000	0.003588523	0.052361349
Bachelors	Social sciences	Criminology	7	2960	52176.89906	36132.79802	76395.05866	316455	61671.95345	0	0	0.956061273	0.002189504	0.032352218	52000	36000	76000	0.002021406	0.029495016
Bachelors	Social sciences	Geography	7	4602	55849.62045	39048.59463	82565.99746	452674	67392.84653	0	0	0.947641222	0.003131982	0.046278327	56000	39000	83000	0.003064684	0.044717829
Bachelors	Social sciences	International relations	7	2700	58346.63821	39132.6743	94621.3689	289977	80080.09749	0	0	0.946683923	0.002006306	0.029645287	58000	39000	95000	0.002116553	0.030883341
Bachelors	Social sciences	Political science and government	7	25683	60548.39814	38667.31003	96744.66701	2732281	81737.4465	0	0	0.945272485	0.018904234	0.279329923	61000	39000	97000	0.01879141	0.27419179
Bachelors	Social sciences	Sociology	7	20550	48836.83556	33143.4086	72089.71317	2116955	60270.67465	0	0	0.949812462	0.014646887	0.216423156	49000	33000	72000	0.015573621	0.227239952
Bachelors	Social sciences	Miscellaneous social sciences	7	582	56343.79462	39219.70018	86961.49844	58960	73172.41146	0	0	0.956621953	0.000407935	0.006027672	56000	39000	87000	0.000420586	0.006136917
Graduate degree	Agriculture and natural resources	General agriculture	7	1466	66286.8172	41429.26075	99430.2258	142560	84849.46299	1	1	0.972218877	0.001736176	0.151074562	66000	41000	99000	0.001639009	0.151195666
Graduate degree	Agriculture and natural resources	Agricultural economics	7	638	81394.72593	51634.55475	122092.0889	53384	105978.0129	1	1	0.979380418	0.000650141	0.056572422	81000	52000	122000	0.00058797	0.054239173
Graduate degree	Agriculture and natural resources	Animal sciences	7	2851	72265.59603	45136.07861	104583.5968	249740	87002.10415	1	1	0.989076027	0.003041475	0.264656013	72000	45000	105000	0.002767743	0.255319341
Graduate degree	Agriculture and natural resources	Food science	7	627	79263.35756	53683.0142	122092.0889	62278	102023.0827	1	1	0.980532552	0.000758457	0.065997626	79000	54000	122000	0.000810763	0.074791443
Graduate degree	Agriculture and natural resources	Plant science and agronomy	7	1231	66387.28468	44035.19865	102204.2001	109380	80024.85134	1	1	0.973916074	0.001332092	0.115912848	66000	44000	102000	0.001298562	0.119789977
